timestamp,input_key,output_key,satoshis
1495088832000,1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,14PGjNrzTU7nZQvQjoKUEsozGWFmpGoRi1,40000000
1495088832000,1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,3DqTA1z7a53UhCuXwZqBGJo6EWfcM6uGFu,60000000
1517788864000,1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,1LPaPWbvcdAgiAzmDJPGYyXbDLwSCb2m6q,6130000
1517788864000,1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,1Nz8GG1RYagWytMkbuhukcG5H1gn9t38RP,38937815
1517788864000,1LSgEKji3ZoGdvzBgkcJMej74iBd38fySb,14J6j5HUxmSE3bmt2AS8bqz7xi8ej15gRS,271200000
1517788864000,1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,16kCUsxZUvFw2E2pYgwjJgSy1FbjPwvPmi,3050000
1517788864000,1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,3FCniKw7Arbp4YdhWNhSZ9WaT6wQm7jTd9,1831578
1517788864000,1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,19isui6HtGu4LwreavNxcNjSpFL9qcKnGK,1300000
1517788864000,1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,1JZGpedKSg6zduAr3NW7w5AkyhUekPhyoB,50000000
1517788864000,1LSgEKji3ZoGdvzBgkcJMej74iBd38fySb,1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,8020916013
1517788864000,1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,1PUGcdBasGBuwqzpPfQmVmVif3SCaFkjWv,120000000
1517788864000,1J37CY8hcdUXQ1KfBhMCsUVafa8XjDsdCn,1CP7fX8A22Rbd7oYr6EeyqsNfcUU55fya2,6420000
